体育 其他 军事 女性健康 娱乐 教育 生活 社会 科技 财经 购物 

0.4508209298721686 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.8926144123803925 0.0 

0.5845581680545044 0.0 0.5793488366581805 0.0 0.0 0.0 0.0 0.0 0.5680199588250174 0.0 0.0 

0.5720410156972385 0.0 0.0 0.0 0.595722699533316 0.0 0.0 0.0 0.0 0.0 0.5638116189125675 

0.0 0.0 0.0 0.0 0.5941714538630632 0.5623434688263589 0.5750913896787114 0.0 0.0 0.0 0.0 

0.0 0.0 0.5821971968977664 0.0 0.0 0.0 0.0 0.0 0.5708126207993488 0.0 0.5789813260033196 

0.0 0.0 0.0 0.0 0.0 0.6991378994159401 0.714986851347818 0.0 0.0 0.0 0.0 

0.5776642683236036 0.5849273834698975 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5693539752818236 

0.0 0.0 0.0 0.5748022515550603 0.0 0.577337645806404 0.0 0.0 0.0 0.5798996588565583 0.0 

0.0 0.0 0.5677895094600204 0.0 0.5966119363933697 0.0 0.0 0.0 0.0 0.5671589462400318 0.0 

0.0 0.0 0.0 0.45072946102294453 0.0 0.0 0.0 0.0 0.8926606034579805 0.0 0.0 

0.0 0.0 0.8954141992485303 0.0 0.0 0.44523410896304133 0.0 0.0 0.0 0.0 0.0 

0.8969931303523238 0.0 0.0 0.0 0.0 0.4420444820385602 0.0 0.0 0.0 0.0 0.0 

0.5847760648465243 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5682316909221724 0.5789211512929393 0.0 

0.0 0.0 0.0 0.564772340256685 0.5993699462947389 0.0 0.0 0.0 0.0 0.0 0.5672634935897327 

0.0 0.44884981806242974 0.0 0.0 0.0 0.0 0.8936072072366716 0.0 0.0 0.0 0.0 

0.5837724169850566 0.0 0.0 0.5728474800063976 0.0 0.5753742519593182 0.0 0.0 0.0 0.0 0.0 

0.5670647910582239 0.5741946363658061 0.0 0.0 0.5905404662771487 0.0 0.0 0.0 0.0 0.0 0.0 

0.5812191095454958 0.0 0.0 0.0 0.0 0.0 0.585843946822602 0.0 0.5647753683283802 0.0 0.0 

0.5776642683236036 0.5849273834698975 0.0 0.0 0.0 0.5693539752818236 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.8975851706449262 0.0 0.0 0.44084108410890943 

0.0 0.0 0.0 0.0 0.5942238765887355 0.0 0.0 0.5725370319949871 0.0 0.5648887779786622 0.0 

0.5742860808167951 0.58150672117939 0.0 0.0 0.0 0.0 0.0 0.5762338332684751 0.0 0.0 0.0 

0.43282159997959674 0.0 0.0 0.0 0.9014795963254532 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.5813311461545819 0.0 0.0 0.0 0.0 0.0 0.5699635052469268 0.5806855441607243 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5710274923933738 0.5817695468195382 0.5791992725516192 

0.0 0.0 0.0 0.0 0.5977233893878482 0.0 0.0 0.5759088262805593 0.5577237430761322 0.0 0.0 

0.0 0.0 0.0 0.45072946102294453 0.0 0.0 0.0 0.0 0.8926606034579805 0.0 0.0 

0.0 0.0 0.0 0.5704594779755521 0.0 0.0 0.5859646629375643 0.0 0.0 0.5755183731005701 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 

0.0 0.0 0.44281061887908246 0.0 0.0 0.0 0.0 0.8966151659479801 0.0 0.0 0.0 

0.58212271674156 0.0 0.0 0.0 0.0 0.0 0.0 0.5840970479792236 0.5656534108404034 0.0 0.0 

0.0 0.8952419461618947 0.0 0.0 0.0 0.0 0.4455803606895879 0.0 0.0 0.0 0.0 

0.0 0.462069818407347 0.0 0.0 0.0 0.0 0.0 0.0 0.8868435504174348 0.0 0.0 

0.0 0.0 0.0 0.5756562542835747 0.0 0.5781954154540678 0.0 0.0 0.0 0.0 0.5781954154540678 

0.0 0.0 0.5759460595685473 0.5702494058429617 0.0 0.0 0.585748881008929 0.0 0.0 0.0 0.0 

0.0 0.0 0.5786282047384065 0.0 0.0 0.5754320478138465 0.0 0.0 0.0 0.5779856045179428 0.0 

0.0 0.0 0.5751199073627864 0.0 0.0 0.0 0.5849086673777601 0.0 0.0 0.0 0.5719431291495624 

0.5766240980001522 0.583874134828736 0.5714854716294245 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.5864988369150061 0.0 0.0 0.5755228766864549 0.0 0.0 0.0 0.0 0.5699057226488367 0.0 0.0 

0.5720410156972385 0.0 0.0 0.0 0.595722699533316 0.5638116189125675 0.0 0.0 0.0 0.0 0.0 

0.0 0.5904486902690197 0.0 0.0 0.0 0.5747282799624875 0.0 0.0 0.5666195799396273 0.0 0.0 

0.0 0.0 0.5677895094600204 0.0 0.5966119363933697 0.0 0.0 0.0 0.0 0.5671589462400318 0.0 

0.0 0.0 0.5777737562664678 0.0 0.0 0.0 0.587607685801226 0.0 0.5664756783455615 0.0 0.0 

0.0 0.0 0.0 0.0 0.5950615246815607 0.563185861217176 0.0 0.5733441092125428 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.5738792731683585 0.0 0.5842303994619872 0.0 0.0 0.5738792731683585 

0.0 0.5832157026832508 0.5708410101217934 0.0 0.0 0.0 0.0 0.5779273183600272 0.0 0.0 0.0 

0.0 0.0 0.5821971968977664 0.0 0.0 0.5789813260033196 0.0 0.0 0.5708126207993488 0.0 0.0 

0.0 0.5768500655391912 0.0 0.0 0.5932714886220138 0.0 0.0 0.0 0.0 0.0 0.5614917120275688 

0.0 0.0 0.5803273356397389 0.5745873469312341 0.0 0.5771217932601466 0.0 0.0 0.0 0.0 0.0 

0.0 0.5913051607731391 0.0 0.5730343511319508 0.0 0.0 0.0 0.0 0.5674414853232327 0.0 0.0 

0.0 0.0 0.5821971968977664 0.0 0.0 0.0 0.0 0.0 0.5708126207993488 0.0 0.5789813260033196 

0.0 0.5842002856133887 0.0 0.5661490103686166 0.0 0.0 0.5815370360930342 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.5976742501103302 0.0 0.0 0.0 0.0 0.5681688166290318 0.5656586307707326 

0.5710308743108321 0.0 0.5659420923480072 0.0 0.5946707397312957 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.564772340256685 0.5993699462947389 0.5672634935897327 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.571726211112371 0.0 0.0 0.0 0.5814572091237455 0.5788235080619285 0.0 0.0 0.0 

0.0 0.0 0.5821971968977664 0.0 0.0 0.5789813260033196 0.0 0.0 0.5708126207993488 0.0 0.0 

0.0 0.0 0.0 0.5712942419539778 0.0 0.0 0.5868221159419154 0.0 0.0 0.0 0.5738141627318754 

0.0 0.5776486331950935 0.0 0.5597997982503747 0.5940927894249179 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.8982063386849618 0.4395740815222793 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.5606513466618738 0.594996503168115 0.0 0.5758899449581864 0.0 0.0 0.0 0.0 

0.5768332391317668 0.5840859055433176 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5710578509909452 0.0 

0.45753931251744095 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.8891893934933477 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.5851727402841247 0.5825222097837717 0.5641283002447225 0.0 0.0 

0.0 0.0 0.0 0.0 0.465503556747531 0.0 0.0 0.0 0.0 0.8850460093438071 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.8918599999412284 0.0 0.4523115524777497 

0.5837724169850566 0.0 0.0 0.5728474800063976 0.0 0.0 0.0 0.0 0.0 0.0 0.5753742519593182 

0.5786178182781538 0.0 0.0 0.0 0.0 0.0 0.0 0.5805802622791194 0.0 0.5728245625171272 0.0 

0.5812191095454958 0.0 0.0 0.0 0.0 0.0 0.585843946822602 0.0 0.5647753683283802 0.0 0.0 

0.0 0.0 0.5786282047384065 0.0 0.0 0.0 0.0 0.0 0.0 0.5779856045179428 0.5754320478138465 

0.5810093627158476 0.0 0.5758316567489169 0.0 0.0 0.0 0.0 0.0 0.0 0.5751921622573821 0.0 

0.0 0.5866667920953827 0.5742188741898876 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5710470729953973 

0.5785653282208464 0.0 0.0 0.0 0.0 0.0 0.5831690490091895 0.0 0.0 0.0 0.5702420725081778 

0.0 0.5868816171720734 0.0 0.0 0.0 0.5712561784585036 0.0 0.0 0.0 0.5737912041836106 0.0 

0.0 0.5768500655391912 0.0 0.0 0.5932714886220138 0.0 0.0 0.0 0.0 0.0 0.5614917120275688 

0.0 0.5842002856133887 0.0 0.5661490103686166 0.0 0.0 0.5815370360930342 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4587649433645693 0.8885576665246344 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 

